Date,Close,High,Low,Open
2015-05-20,8423.25,8440.349609,8391.450195,8392.650391
2015-05-21,8421.0,8446.349609,8382.5,8434.5
2015-05-22,8458.950195,8489.549805,8420.599609,8432.5
2015-05-25,8370.25,8441.950195,8364.150391,8438.150391
2015-05-26,8339.349609,8378.900391,8320.049805,8377.099609
2015-05-27,8334.599609,8342.849609,8277.950195,8302.75
2015-05-28,8319.0,8364.5,8270.150391,8345.700195
2015-05-29,8433.650391,8443.900391,8305.700195,8327.099609
2015-06-01,8433.400391,8467.150391,8405.400391,8417.25
2015-06-02,8236.450195,8445.349609,8226.049805,8442.799805
2015-06-03,8135.100098,8236.700195,8094.149902,8232.450195
2015-06-04,8130.649902,8160.049805,8056.75,8155.149902
2015-06-05,8114.700195,8191.0,8100.149902,8119.149902
2015-06-08,8044.149902,8131.0,8030.549805,8124.350098
2015-06-09,8022.399902,8057.149902,8005.149902,8026.5
2015-06-10,8124.450195,8152.25,8023.799805,8024.149902
2015-06-11,7965.350098,8163.049805,7958.25,8157.299805
2015-06-12,7982.899902,7995.600098,7940.299805,7959.850098
2015-06-15,8013.899902,8057.700195,7944.850098,7986.600098
2015-06-16,8047.299805,8061.850098,7952.350098,8004.200195
2015-06-17,8091.549805,8136.850098,8048.950195,8084.200195
2015-06-18,8174.600098,8186.899902,8101.799805,8113.700195
2015-06-19,8224.950195,8250.799805,8195.650391,8201.150391
2015-06-22,8353.099609,8369.450195,8257.400391,8259.299805
2015-06-23,8381.549805,8398.450195,8334.950195,8377.450195
2015-06-24,8360.849609,8421.349609,8338.900391,8399.400391
2015-06-25,8398.0,8423.150391,8329.5,8336.25
2015-06-26,8381.099609,8408.549805,8339.700195,8393.950195
2015-06-29,8318.400391,8329.450195,8195.650391,8247.049805
2015-06-30,8368.5,8378.0,8298.950195,8316.349609
2015-07-01,8453.049805,8481.599609,8370.150391,8376.25
2015-07-02,8444.900391,8479.25,8433.200195,8471.950195
2015-07-03,8484.900391,8497.75,8424.150391,8440.099609
2015-07-06,8522.150391,8533.150391,8386.150391,8386.150391
2015-07-07,8510.799805,8561.349609,8483.849609,8525.5
2015-07-08,8363.049805,8457.5,8341.400391,8439.200195
2015-07-09,8328.549805,8400.299805,8323.0,8364.849609
2015-07-10,8360.549805,8377.099609,8315.400391,8365.700195
2015-07-13,8459.650391,8471.650391,8355.400391,8397.25
